"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","DESKTOP-SUL4QOG",,,,"User:","elcfin"
"Cmdline:","dstat -cdm --output ./dstat_output_new.csv 1 300 -t",,,,"Date:","20 Jun 2025 02:07:18 CST"
"total usage",,,,,"dsk/total",,"memory usage",,,,"system"
0.099,2.187,94.705,2.535,0,432841.572,0,9997276,1520844,1712,4689928,20-06 02:11:56
0.357,1.174,93.820,3.879,0,233649.860,24.501,10226312,1062412,1720,4918788,20-06 02:11:57
0.583,2.235,94.568,2.527,0,461428.758,952.482,10699208,242376,1720,5264840,20-06 02:11:58
0.411,1.283,94.010,3.643,0,459611.001,4.105,11147664,242100,1720,4815652,20-06 02:11:59
0.390,1.170,94.459,3.609,0,443560.635,0,11599600,234356,1720,4370420,20-06 02:12:00
0.666,1.537,94.326,3.587,0,457391.822,0,12045844,241812,1720,3915712,20-06 02:12:01
0.301,2.257,93.072,3.611,0,456758.597,28.082,12494448,3545424,1000,173216,20-06 02:12:02
0.700,3.252,92.307,3.552,0,445279.653,0,12939096,2655992,1000,618160,20-06 02:12:03
0.400,2.147,93.335,3.596,0,437810.422,0,13377644,1778780,1000,1056824,20-06 02:12:04
1.354,1.354,94.542,2.859,0,356183.357,0,13734920,1066816,1000,1411512,20-06 02:12:05
5.288,0.150,94.737,0,0,191.570,7.982,13734444,1067204,1000,1411600,20-06 02:12:06
5.262,0.200,94.362,0.200,0,3487.848,104.235,13734792,1063416,1024,1415016,20-06 02:12:07
5.312,0.186,94.551,0.047,0,137.936,0,13737288,1060804,1028,1415128,20-06 02:12:08
4.528,0.661,94.732,0,0,32.561,0,13932860,865232,1028,1415128,20-06 02:12:09
1.424,1.678,97.092,0.051,0,638.803,0,5070108,9727652,1028,1415492,20-06 02:12:10
0.050,0.101,99.736,0.050,0,48.308,0,5071016,9726528,1028,1415708,20-06 02:12:11
0.310,0.568,98.908,0,0,33.073,24.805,5072052,9725484,1036,1415708,20-06 02:12:12
0.142,0.047,99.809,0.047,0,52.954,0,5070236,9727300,1036,1415708,20-06 02:12:13
0.254,0.355,99.304,0,0,32.492,0,5072356,9725180,1036,1415708,20-06 02:12:14
0,0.100,99.889,0,0,32.012,0,5072884,9724648,1036,1415712,20-06 02:12:15
0.203,0.457,99.283,0,0,48.778,8.130,5075900,9721632,1036,1415712,20-06 02:12:16
0.103,0.154,99.711,0,0,65.721,90.366,5077656,9719868,1044,1415712,20-06 02:12:17
0.398,0.796,309.451,0.050,0,167.163,0,5071280,9726092,1068,1415840,20-06 02:12:18
